Respondent_Serial,NPS2
603,Comcast reliability and customer service SUCK!
609,costly
611,slow
612,i never recommend anything to anybody.
614,
615,good service
618,
619,They are ok n i think i wouod say good things about my bundle
620,
623,"Very reliable, good choices of channels, a bit overpriced"
625,I've been with them for years and never had any major technical problems.
626,
628,"att is good most of the time, bud sometimes my internet goes out."
629,I'm satisfied with the service
631,
634,
636,Their internet is slower than molasses. I can be in the middle of a game on line and it stalls so I can't move or do anything for 1-2 minutes of my time.
644,I like att
646,like them
650,
655,
657,because they are no better or worse than other options
660,"I am happy with my phone, but my internet is slow."
665,
666,they are getting too expensive.they raised their price twice last year and probably will do it again this year.
667,Use Verizon for my wireless phones and am very happy with the coverage and features.
669,All services work very well and at a decent price.
674,good serives
679,"phone and internet are a 10!  TV is a 5.  Average is about 8.  Too many glitches/recording problems with TV service.  Multi-Room DVR is great, but not consistent"
687,great service
688,I don't get asked for recommendaions as my firends already have more services than I do and my family is not in the area.
694,good services with Charter
695,I would recommend their service because it's reliable.
697,rates
700,"Service is ok, channel selection could be better."
701,
702,free access to HBO Go
705,
707,I feel they are grossly overpriced and the service where we live stinks.  I am tired of paying for channels I do not watch!  The only reason I have not switched my provider is that no one else is available where I live.
708,They have great high quality service
711,best we have ever had
712,
713,previously used att uverse.  Charter dvr is limited to 2 recordings at thge same time and cannot view recordings on second tv in home.l  also internet speed appears to be slower than att. giving serious thought to switchng back although Charter costs less.
714,Am quite satisfied
715,"Great service, and fast repair / response if there is a problem."
717,Service is o.k. though I think other providers could do equally well.
720,Very happy with the services
721,good service
724,they suck poor customer service tv and interenet fades in and out
725,Ok fair price
726,cost
728,service
729,
730,reliability and price
732,they are now costing much more than i anticipated when i forst signed up
737,
740,No problems with Frontier and they assumed service when AT&T bailed out with no problems
743,good enough service
744,cost
746,Today my landline was down all day. Internet problems created a one hour on hold.
748,"New customers get better prices 
Offering by mail or phone are not known by customer service reps"
749,
751,cool
752,ALWAYS GET THE HELP I NEED
755,no experience with others
758,
760,Customer service
761,
762,Terrible company. Has a monopoly in our area.
763,
767,I have had this service for about a year and I am satisfied with it
770,trouble with billing
772,Excellent customer service.
779,
788,the prices are not reasonable
789,The have given us excellent service for years
794,the company is way too expensive for what they provide
799,ease
800,
807,errwerw
808,
809,great service and selection
810,poor customer service & ever-increasing rates for less servicde
811,Verizon does not seem to care about residential customers as far as telephone repair and coming in a timely manner to fix or repair phone lines and keep them repaired.
814,
816,its good
822,They are ok but seem priced a little high
823,I am satisfied with Brighthouse
827,"Although I have only been using this bundled package for several days, the performance so far is good!"
830,Time Warner will always help with any pronlrms that you have
839,Good uninterrupted service
840,Reliability
844,The service hasn't been the best for reliability
846,service has been reliable and cost has not gone up substantially with time
848,I have never had any issues with AT&T.  the service has always been great and so has the customer service
849,"High prices, charges for converter boxes."
852,the service is good but is slightly expensive.
853,"great service, so far"
858,This is a necessary evil.  I think they overcharge for the service.
859,Pricing is too nigh because there is no competition in my area
860,
862,Only service in our area
869,
871,I don't recommend
874,just average
877,The service and reception is terrible.  I have to renegotiate contract annually.
879,"Their service cuts out infrequently.  But the customer service we experienced when we moved was good.  It took a while to get on their schedule, but they worked to get televisions, internet and phone hooked up all on one service call.  And they arrived during the one hour window they promised."
882,
885,Too many problems.
895,price to high with Directv
897,"best in area, however - $$$"
899,"Cheaper than Time Warner, better service."
901,
904,Many outages have occured during the past year. Company claims it is upgrading service.
908,Wait time for in home service
909,They are a good company to deal with.
913,they are good
914,Continuous raise  in rates which are already at top of competition
916,
920,excellent customer service
922,no need to recommend or say anything against them.
926,Good picture quality. Lots of choices and very little down time.
934,equipment from the dark ages. Needs to be rebooted all the time. The only way to find a record of missed phone calls is to load a program call VoiceConnect on you own computer - and keep it running even when you leave the home. What a WASTE? Why not store the info on TWC servers and allow the customer to log in and view the information?
936,"Expense, Way too pricey."
938,I have had no problem's with them.
945,
946,
949,They are too expensive.
950,there good
951,"Comcast is undependable with their billing. You never know what they are going to bill you and after agreeing to a price, often changes it to their benefit."
952,spotty service
957,I've had no problems with my service
960,price too high. To get the channels I want I have to have a bundle that includes a bunch of sports channel....which NO ONE in my house watches. I love on demand.... but my price keeps going up. And I am having trouble with my wifi... and can't seem to get it resolved. It would be nice if they would send a tech out to check it. Plus need to attach the little box to go from Analog to digital on two TVs and they won't send a tech to help. (I have arthritis and can't twist the attachment myself) but they won't help without charging me.
962,They're pretty good with service but they have occasional outages and signal strength issues.
966,
967,
968,BEEN WITH THEM 14 YEARS
969,"Great quality, and lately the prices have gotten better."
970,Customer service is not good
972,Service has been fine; prices just went up
976,like what they offer
977,"Charter is too expensive.  They advertise $99 for the bundle, but ours is over $150 since we are current customers.  It isn't fair that we have to pay so much.  But, Charter is the only option for cable in our area.  We're trapped."
978,Their is some things that I am not happy with but I hear other people aren't 100% happy with their providers either so I will just live with it.
979,reliable
982,
984,
989,I haven't had any issues with their service
995,
1001,I never had a problem
1004,We get good service
1009,
1012,
1013,class act
1014,"Pricey, but reliable."
1015,The customer service is always helpful and friendly
1016,
1018,
1030,"My past and present experience has been great, i have no complaints hus far!"
1034,I don't rate Centry link that high since they have high prices.
1040,creeping fees
1042,"terrible customer service, costs too much, profit driven"
1044,"Great customer service, high internet speed, never any problems with the landline phone, and easy-to-use website."
1046,RELIABLE SERVICES OFFERED AT A FAIR PRICE
1047,Pricing is too high though satisfied with service.
1057,"They're OK, I just keep landline because my wife wants it. We both have cell phones."
1058,I don't care
1059,Quality product
1063,Bad customer service
1066,have basic service & price keeps going up
1070,"Poor services compared to other providers, but it''s the only one available."
1071,no issues with them..great customer cervice
1076,satisfied
1077,"I feel like I'm getting pretty good deals from them.  They are quick to fix problems, but there are many very often."
1078,good service no outages
1082,Good service.
1085,best value
1086,I've had some very negative experiences with this company but their prices are quite competitive.
1087,We have had no issues but everything can be improved in someway or somehow
1089,Good but not the best service
1090,pricing
1091,I have done a lot of research on different cable companies and Charter is superior by far. Have been with them for years
1093,"They don't lose service as often as others, fix it promptly and it works better"
1099,
1100,reliabilty
1103,I have a problem with having to reboot my cable box several times a week.
1104,"Frontier is the only thing available in some areas. They are alright, but should have faster internet everywhere by now."
1109,
1111,
1115,LOVE THE DISCOUNTS YOU RECEIVE
1116,It's a nessessary service and it comes all in one bill
1117,
1122,"Good, reliable service"
1123,high prices
1126,
1127,
