Respondent_Serial,NPS2
31993,Windstream is wonderful
31995,
32156,Mainly by the quality and attention.
32217,"the internet is slow and it goes out ALL the time!!!! cable goes out sometimes, so does phone... not very good"
32240,"Their customer service is horrible which plays a big part.  The cable service is new to the area, but they have been actively adding to their lineup."
32290,
32449,Cost is high
32490,
32558,"charter is doing a fine job, although the occasional outage happens, however the outage does not last too long"
32624,
32659,I have never had any trouble with them
32784,great service but too expensive compared to alternatives
32801,good service
32890,
32960,lifetime rate
32961,"I use it because there is no other viable alternative where I live, but it isn't the best speed or pricing available anywhere, just nothing else available better right here."
33004,great service and reception
33008,great reception with no downtime
33027,Good service
33028,"THEY ARE PRETTU good, their prices slowly climbs so every so oftern you got to call and say something"
33032,Best price for most service
33034,great service
33039,"I use all of my services through Cox. I feel they are affordable and if I have any kind of problem, the company comes to my house and fixes it."
33054,LIKE  COX
33060,its ok but I am sure there is better
33070,"reliable service, fairly reasonable"
33083,cost of service
33099,
33107,Because they are a underrated company. They provide great service and good internet.
33128,
33137,no contracts
33141,"It's better than other companies I've used in the past, but it's still unreliable and has awful customer service."
33146,good service
33168,They have great service at an affordable price
33199,service is reliable. good.  But it is too expensive. bad.
33200,the price
33203,"very bad infrastructure planning   waits for centers to overload before replacing important hard ware.  leaves customers days without service.  nice people, greedy management, both ISP platforms are bad in reliability and very bad in speeed...  never get what you purchase"
33233,very very poor service
33235,The cost is too high
33236,good service so far . not comcast
33237,I really don't like them but the bundle is a pretty good deal.
33238,telephone delay
33260,Pricing for the services you receive
33269,service is good
33270,"They are constantly jacking up rates, it's ridiculous!"
33281,Customer service is not great and they are too expensive
33282,good service but no internet in my area from century link
33284,
33285,
33289,great quality
33290,
33296,performance    service
33303,problems with everything/to much money
33306,Service is reliable and offering is good for what I desire.
33313,"Have had Verizon FIOS for over 7 years and never have had an issue at all.  Also, Internet speed is excellent."
33317,"dependable, not too expensive"
33323,friendly service
33327,good service
33334,good service
33338,POOR CUSTOMER SERVICE.NOT ABLE TO FIX PROBLEMS
33342,Terrible service and always changing rates!!
33361,Reasonable cost
33368,very good service
33378,
33381,It has great service and also a great price.
33383,Terrible customer service
33410,We are pleased with their service.
33413,Good customer service.
33416,It's just a good company.
33417,They are expensive and the telephone service sucks.
33422,"It is just ok, not amazing"
33427,cost
33428,"It is just ""ok"""
33430,Service is pretty good but could be better
33443,I do not reccomend
33444,
33466,good service
33475,Cost
33492,
33502,
33510,
33515,
33516,The service is reliable.
33518,Poor customer service and high cost
33529,"Good service, very few if any blackouts!"
33536,Good service.
33547,"price and quality, friendly service"
33560,jacking pricing and terrible customer satisfaction
33570,They are expensive and you get interruptions
33579,The cost is way to high.
33582,Ever since they switched me to Frontier I have had nothing but problems and the bill keeps going up.
33597,It is dependable but a little slow.
33616,The service is very good but it is expensive.I have suggested  they offer a senior discoiunt
33625,"Like the service, but the internet is slow, and sometimes off, seems to be a chronic thing, also with other users I know"
33627,good service andcomppany
33632,This is the only internet service where I live.
33635,
33639,They are fairly good.  really haven't had any problems with them
33693,Internet is  not fast enough and Phone is very costly
33698,They have great packages at reasonable prices. I usually don't recommend anything unless it's brought up in conversation.
33709,
33720,doesn't always work well for the price
33730,Good phone service but internet is really slow
33741,Their Customer Service is horrible. Do NOT expect to solve any problems and they will just hang up on you. If there was something any little way better I would leave them in a moment.
33746,"In this area there aren't many choices for providers to choose from. Of the options available, I feel Cox is the better of the few. So I would recommend. Would I like more options? Yes. I like my service options better when the company I am using has real competition."
33780,
33837,
33839,I have not had any problems with them
33857,"We are still new to this provider. So far, I like the general speed of our internet, but our household has run into some hitches with streaming video which should otherwise be supported. It remains to  be seen how we will fare with this provider."
33868,they are a monopoly in this area
33895,
33923,I think they are far too expensive.
33961,"I have Comcast because it is the only way to get high-speed Internet in my area. The company sucks, and their TV coverage isn't as good as Dish Network's"
33965,"I asked for an install. They gave me a date. They did not arrive.  They gave e a second date. They did not arrive.  They gave me a third date, Dispatch said they were on their way.  They did not arrive.  I flagged down a service truck. The driver told me that typically installers in my area do not like making the drive out, so they make up reasons for their dispatch office such as ""customer not at home"".  I tok 4 days off of work to wait.  Would not recommend AT&T to anyone in my area as a result"
33998,This service is very good and there is fantastic customer service
34005,"Few issues with cable, internet, or phone service, fair prices."
34014,Good service
34030,because
34032,less disruption during storms
34052,Purple yellow dinosaur
34055,They provide a service that I am paying for and I have not had any problem with them.
34083,
34100,they are very dependable
34108,"The internet goes out at least once a day, and when it is working, it's super slow."
34119,Just don't discuss.
34120,it a great company give graet services
34122,the service is not that reliable
34133,customer service
34149,"I have a decent price, but service is not consistent."
34166,Leader in telecommunications; no problems with service
34183,
34261,some channels get scrambled and no technician can figure out a solution
34262,customer service that they offer
34271,It works fine...but I would like to pay less
34274,"They provide the service at on ok price, not a good price but better than the competitors.  The service is also ok, nothing special, but mostly reliable."
34303,
34309,GOOD SEVICE THOUGH AT TOO HIGH A PRICE
34311,serice
34313,Great services. seldom out of service
34324,SLOW internet and they don't have anything better
34356,I use to work for Comcast. Great service.
34360,"Good reliable service, price is right, great customer service, do everything they can to satisfy their customers"
34386,"Verizon is the strongest in my hometown. In my current town, no real difference between Verizon and AT &T."
34396,cost
34465,
34483,satisfied with it
34492,
34504,
34519,great
34536,customer service call center not very good
34539,Reliable
34548,"they are like all the others, overpriced and not worth it. would rather not have cable at all but need internet"
34557,high cost
34588,A lot of choices
34601,satisfied with all services
34622,everyone can improve
34641,it's not great nor cheap
34649,service
34650,
34652,"Fast internet, no drops and the amount we're charged is ""ok."" Not as expensive as Comcast."
34653,no problems with service
34654,
34655,n/a
34656,Slow response time.
34662,Service has been excellent
34665,do not offer internet in my area
34672,high cost
34673,
34675,"Internet service is very poor.  For example, the download and upload speeds are very low."
34676,
34679,Stable
34683,everything works
34685,great customer service
34689,"TV service is spotty, installation setup is a nightmare. Phone service is overpriced."
34690,"Good service, high cost"
34691,Generally happy with service
34693,They have been good over the years but they are beginning to charge to much.  There are other services available that provide better value.
34697,general satisfaction with service
34699,"The service is not consistent and the equipment they provide is outdated and all refurbished. Also, their prices are very high for the service given."
34700,"prices, customer service no whole home dvr services"
34701,they are becoming just too expensive
34705,overpriced and unreliable
34706,Good Price
34717,"Great customer service, fast internet, able to bundle (home phone, internet, cable)"
34721,
34724,you get everything and the internet is fast
34725,"Great product, horrible customer service."
34728,great service
34730,
34731,good customer service and good rates
34732,good service but high priced
34738,Cable companies all suck.
34742,
34743,Better than other options
34750,not happy with consistency of wi-fi
34751,They provide me with a service at a reasonable price.
34753,"The service provided is fine however the cost is very expensive.  Unfortunately, there are no alternatives where I live."
34755,The only provider in my area with reliable service.
34756,"It does ok, not totally expensive."
34761,"Frequent outages, poor customer service"
34765,they get the job done
34766,"Ridiculous cost, slow internet even with the extreme package, difficult to use & access on demand menu"
34768,"It is great. It never goes out unlike cable and I never lose my internet, unlike cable."
34769,I believe that bundling is cheaper and I am very happy with the service that I receive.
34772,"Slow service.  I get tired of seeing at the top of the screen  ""waiting for CenturyLink"" and the little circle spinning."
34773,some technical issues not resolved
34778,We got a large billing credit for tv when we switched my phone plan to AT&T
34781,
34786,"Although Verizon products and services are a little pricer, you cannot beat there products or service!"
34788,"After many days without cable, phone, and internet, the tech spent 3 days working on the trouble and finally found it. The company took care of my bill for the month, even though I was down for 7 days. I got phone calls (cell) everyday from the main office keeping us updated on the issue."
34794,all telecommunication companies offer the same packages si one company is no better than another
34795,Shoddy internet speed and connection
34796,best rates and coverage
34799,good service
34804,QUALITY OF SERVICE
34807,expensive
34811,i have no problems with the company. they do a good job
34813,"too expensive, very poor customer service"
34814,
34815,good rep service
34816,All providers are too expensive
34817,Only Choice
34818,
34819,They have high-speed internet that seems to be faster than others we've used.
34822,"Service is okay, not great"
34826,
34828,too expensive
34831,Netflix etc offer a lot and at a cheaper price
34839,"I have used Brighthouse for 8 years with little or no difficulty.  While I have not, I know people that have had poor quality internet service from Brigthouse. Also, Ihave not been been able to find a more economical substitute thus far."
34841,great customer service
34842,they are expensive and their service cuts out a lot
34843,Consistent service
34845,Good reliable service
34849,I DO NOT MAKE RECOMMENDATIONS
34853,The DSL service that is provided is not as reliable as I would like. (also low bandwidth) The price of the phone service is a bit high.
34856,poor service for phones
34859,"The service is relatively new to me and I'm still getting use to it and all the features that comes with it, so far my only dislike is the guide, it seems so confusing."
34869,CAble service is not 100% reliable
34870,Is good but not great
34874,"The service is good and I am happy with the chanels, but it is very expensive if you want to upgrade to speedier internet."
34875,"they have improved their internet services dramatically over the past few years, and for a lower price than local competitors. for example, i now get service at more than 2x the speed than what i had with att/uverse and at half the price. however, their tv service costs too much with less options than directv."
34882,
34886,"Service has been OK, but I have no choice in service providers because of where I live."
34888,bad internet service
34894,
34896,BECAUSE THEY ARE CHANGING THEIR PRICES AND IT IS MORE CONVEINENT FOR THE CONSUMER
34899,very high prices and terrible customer service.  Would get rid of them if I could.
34901,because they are constantly raising the bills
34908,Decent technology... but also the only carrier in our area.
34922,Costly phone and internet service.
34927,
34930,I like the services.  I believe it is still more cost effective than the other big cable providers.  But some of the On Demand content is limited. And the menus and controlling recordings are clunky.
34938,okay
34940,Overpriced and I cannot select my stations.
34944,Everything is over priced now days but we get good wifi
34945,Good service at a reasonable price
34948,
34951,I didn't have a choice when I moved in
34955,Always takes care of problems quickly.  Problems are rare
34971,"Great service for Telephone and Internet, but not quite so with TV."
34974,Century Link has provided excellent phone service and adequate internet service for what I need.  Rates are reasonable.
34982,
34989,gagz
35001,"Service is fair, not great."
35006,na
35013,Decent service
35015,Great service
35026,They provide quality service at a reasonable price. I seldom have any problems with either my telephone or internet service.
35042,Too expensive
35045,It is only average
35048,why recommend when there is no competition?
35058,
35059,Programing
35066,"The package pricing is nice, the features too, high speed internet is really high speed but the hardware provided (modem and set-top box) are a bit low quality, requiring frequent restart (about once per week)"
35076,"Over all, I've had a great experience with Cox."
35080,I've had a lot of trouble with them especially when they installed and set everything up. Also they did not follow through on promises of discounts and refund for all of my troubles.
35083,
35093,good product
35095,
35104,"We were told our internet would be faster, it isn't. We were told our cable TV would be better. We get fewer stations, poorer quality for more money than Time Warner. And they bundled telephone services I don't need for money I don't need to be spending."
35109,Best quality product
35118,want pac 12 netweork and too many ads
35132,expensive
35134,"great customer service, good value"
35149,"No problems, but horrible customer service"
35165,
35168,"Good, but expensive service."
35174,
35214,
35223,We rarely have outages but it's not the quickest internet
35229,I like many of the Cox features. I might consider changing to get a cheaper service. I don't like the hassle of chaging.
35232,One of three options I have. Think the cost is much higher than the services received.
35236,heresy
35247,
35268,
35271,lifetime price guarentee
35281,Have provided good service.
35283,no real choice
35289,reliable service and support
35308,poor service
35331,Too many issues with the picture and sound breaking up on my TV
35351,"Unreliable service with frequent unexplained outages. Frustrating customer service with slow response times, broken / unfulfilled promises, refusal to communicate in timely manner. Nightmare company."
35364,it good service
35373,"very few problems with interruptions, excellent telephone reception which includes voice mail"
35390,trust is
35424,We've had very little service interruption since switching back to Comcast 4 years ago.   I can't give it a 10 because their customer service is difficult to deal with when you call.
35489,yo momma
35495,
35515,
35525,Generally good service from this provider.
35593,I've been satisfied with it.
35618,I have never had any issues with my service from Frontier communications.
35623,Service is higher priced than others
35630,"customer service is mediocre, internet is spotty"
35634,Service has been solid.
35640,
35648,THE SERVICE IS NOT THAT GOOD AND THEIR ADS ARE LIES
35652,good service
35665,Always have problems with internet
35676,The prices keep going up
35677,Their service is good.
35701,
35748,no specific reason
35768,N/A
35804,
35805,Poor service and cost
35835,excellent customer service and prices
35861,"They are easy to get a hold of, fast service if repairs are needed"
35964,The service is pretty good but we have had some problems.
35982,Customer srvice issue
36015,good and friendly people good rates
36037,good customer service and reasonable prices
36044,It's nice to have one bill besides the service being outstanding.
36060,"Only phone carrier in our area, no one else to recommend"
36071,"Because if I want to take off the phone cause we never use it, then it makes my bill go higher."
36075,Good service.
36107,internet connection can be slow and cost keeps rising
36110,never have had any real issues.  the minor issues have been dealt with promptly and professionally.
36126,Cost is reasonable but do not receive CLTV station
36133,They are an ok company with really good Costumer Service
36135,
36175,Overly expensive and they refuse to release phone numbers for other providers.
36181,unreliability of equipment and lack of fast internet in Non-Urbab area's
36182,Constantly have troubles with no service.
36216,We won't be keeping our land line much longer probably.
36218,
36240,"Terrible customer service, terrible quality."
36256,Don't like having to have a landline in order to get internet. Internet speeds are inconsistent.
36259,I don't know enough about other options but have never been gunho on Cin Bell.
36270,
36301,It is an alright provider.  Just not sure we will stick with them
36303,works good.  i like it
36304,consistant sevrvice
36306,
36333,"We like our bundling situation, but it does increase its rates quite often!"
36342,I do not like Cincinnati Bell.
36347,Because I love my service provider that I have right now and think others would too
36359,The only alternative is time warner anything is better than them
36360,The service goes in and out a lot. But it is better than the other two options for phone and internet that are available to me.
36361,I am satisfied with service
36365,high cost
36368,"I like them, good price, hoping to switch to their fioptics soon"
36372,"Service is good, not too many complaints"
36374,Not always receive the best internet service
36377,looses internet sometimes
36378,service is slow at times and the router has to be reset frequently
36393,It will make no effort to extend true high-speed wireless service to our home.
36398,
36412,I would give them a ten if you could speak to someone local when you call instead of someone from another state. They have a fair price.
36421,"It works fine, no problems with service, and customer service tends to be fairly responsive."
36451,"internet customer service not always the best, but overall the internet and phone are fine"
36480,Good service
36528,good
36651,cost of the service
36664,uninterrupted service
36672,i like
36675,good
36680,Good service in area
36683,"extremely old equipment, slow, slow internet service and very poor service. The equipment is always breaking down, and they refuse to update in this rural area. Been asking for over 15 years and no updates. Terrible service."
36694,I have been with them for almost 10 yrs and they have been great
36699,they are OK
36713,The prices keep going up and up.
36718,Just phone service and is only provider
36744,"I really don't like any of the providers because they all are expensive and have terrible customer service, but choose this one as I figure I have to have something, and it is the least offensive of all the major providers."
36786,reliable service
36792,Really good customer service
36802,you asked
36832,The rate is WAY too high.
36869,I'm sure there are cheaper options out there that I have just not explored....yet
36876,
36892,Very reliable with prompt and professional service support.
37028,The signal can be unstable at times.
37031,no service at times
37151,consistently good
37212,slow speed  down a lot
37213,"They are sometimes good, sometimes bad."
37214,price goes up every year and service has gone down
37216,
37218,the reception is good but the cost is somewhat high
37220,They offer poor tech support and telephone support is horrid as well
37221,expensive service
37223,seemed about right. I am satisfied with Cox.
37224,would like to give up bundle and NOT have to pay more
37226,Their service is terrible. You lose service all the time. The Internet connection is slow. They are very overpriced and continue to raise their prices without giving you anything more and their customer service is awful
37227,"Works well, decent price."
37228,It is average service
37231,past issues on repair and billing
37232,IT'S THE WAY I FEEL
37233,Overly expensive
37234,not happy with service
37235,I have had pre paid cell phones for 11 years  with At&t also I have internet services and my base home phone service is through them.
37240,
37241,quality service
37243,"Great service, friendly staff, no problems with service"
37246,Verizon is always there for me.
37247,good service...good prices...good value
37249,I wish we could choose the stations to have instead of having the stations given to us.
37254,I have had too many interuuptions where I got charged for time warners problem
37256,so far ---so good--- with service from directv
37259,becaue they keep changing the rates and adding charges
37262,Reliability
37268,not ure
37269,"There have been a couple of issues with service, but overall the service has been good.  However, I feel that the price is higher than necessary for the product."
37274,ggsfdgs
37276,internet sucks
37283,it keeps rising in price
37286,Good Service
37289,Too expensive.
37290,
37291,good experience with the verizon
37293,too expensive.
37294,I rarely make recommendations of products or services to anyone.
37295,it works
37297,you get service where ever you go!
37299,cost is high
37301,"Just switched, so far everything is good."
37302,I never had issues with connectivity since I switched to AT&T unlike when with I am with Comcast. I like the quality of the picture on our TV. I rated it 8 (not 10) because of the price.
37304,i've done very well with verizon
37308,it has a great service
37314,Its a good company
37315,not as good as i expected
37322,no issues
37323,good price. always willing to work with you
37329,great
37330,They are no great shakes
37331,
37333,their service is not so good and very pricey .They increase the prices every year
37340,"too expensive, always raising their rates"
37342,Have had no problems.
37346,service is good
37349,great
37350,they always have good service
37351,
37352,"do not know the specific product, I like to meet you offer and what are its advantages"
37355,no problems with them
37356,I have really enjoyed their service
37357,"tv service and dvr stink, the machines are noisy, the dvr hold very little, the menu is difficult to use"
37363,
37365,bundle package. Better faster internet speeds.
37369,Verizon Fios has stable connection in downloading and uploading due to fiber optics property
37370,
37374,goood customer service  immediately they resolved issue
37375,price and service
37376,good quality of service
37377,"Service is poor - slow internet, static landline."
37379,
37380,have had FREQUENT problems over the years but finally agree at a price that I think is fair for the service/level of service thatI receive
37385,it is just ok
37388,I have never had any problems!
37389,excellent
37395,Good service
37398,its expensive
37400,
37401,"good reliable service, but high priced and raises cost too often"
37403,
37405,good deal save money
37406,good service with no problems
37408,
37409,
37413,I think they are high in price
37416,their customer service is horrible and they are over priced and always trying to get you to upgrade
37417,"Inexpensive, works well for snowbirds."
37419,
37422,It is a good arrangement for me
37424,Great company with great prices.
37425,Service and speed
37428,IT IS A VERY GOOD SERVICE
37429,"Service is good, but sometimes they add random charges to your bill for no reason."
37432,excellent service.
37436,
37437,"Too expensive; 2 year contract; lousy movies on Premium Channels; Internet good, Phone service good & reasonable."
37438,Cable costs are expensive and go up every year
37440,99.9% up time and reliability
37441,Great bundle for a great price
37443,both are good
37444,Good picture and good customer service.
37447,
37448,The rating is my true and objective opinion.
37455,it is a good rating
37456,The provide good service
37457,their cost continues to excelate
37459,only choice
37460,Very expensive!!!
37462,"I think they have the best picture quality, although they are very expensive."
37463,"works well, technician are knowledgeable and price is reasonable."
37464,consistent good service
37465,good
37474,Unreliable service
37475,I have not had any problems with my current service so have been primarily satisfied
37477,the price for all services are to high - they give discounts to first time users and loyal customers never receive any discounts
37481,
37483,friendly customer service
37485,I think they are too expensive and get more so every year.  I have many channels I never use-I should be able to pick and choose what channels I want and get a cheaper bill
37486,
37489,"only have dsl in my area, not fios"
37492,poor service for cable tv and poor customer service and high price
37495,su proveedor
37496,Only option i have
37497,they give very good service
37498,It serves me well in its purpose.
37500,
37502,I just think it is perfect. Well worth the money spent on this comapny
37503,
37505,
37508,in my opinion this brand has always known me a quality service so recommend them
37509,"I have been a comcast customer for years, I love the service."
37511,I am satisfied with my service but I am not sure if there is not a better deal out there just don't feel like changing right now.
37513,I HAVE HAD SOME ISSUES
37515,
37516,Great service and content.  Cost is quite high and always increasing.  Have to constantly call to make sure that I am getting the best deal.
37520,Best service provider. Internet & Customer both services are good.
37521,god service but expensive
37522,
37523,
37524,"Good reception, good customer service"
37525,Great service and accommodating emplyees
37526,
37528,"TOO EXPENSIVE, MANY EQUIPMENT PROBLEMS!"
37529,great service
37531,I usually don't do recommendations of any kind
37535,they are great
37537,"I like Verizon so far for pricing on my bundle, but I know not to attain cell phone service with them due to difficulty with their pricing and service. Their television service could be put together at least a little better."
37539,The service itself is good but customer service is terrible.  So I selected a number in the middle.
37540,good
37541,LOVE IT
37542,I like AT&T.  They are reliable and have good service in this area.  I do not like some of their unfair business practices which arbitrarily raise rates unexpectedly.
37544,great service
37545,"I have fast internet, which I like.  But, the service is horrid."
37546,great quality and lack of problems
37547,Verizon is great however I believe they charge too money for services.
37548,
37555,"charge way too much for their services, but is really the only cable company we can use in this area."
37556,Only average service
37558,good service
37565,We are supposed to get Centurylink's Prism but we have waited 5 years to no avail.
37567,I think basically they are all the same. you start off with lower payments but after a year with any service they all go up
37569,
37573,Expensive. Cannot choose television channels.
37574,The service is not reliable but is the only one in my area
37581,it is expensive
37582,
37585,i get good service
37586,good service
37587,fairly reliable
37589,I have no real complaints with Bright House.
37590,
37593,
37596,they charge to much
37599,too expensive
37601,worst service on the planet.incompetence throughout
37602,
37603,they suck too expensive  too many outages
37605,cost and the fact they dropped a channel I had without notice
37606,Like the service
37607,it's expensive but reliable
37608,the service is great
37612,
37615,very slow and poor service- bad reputation
37616,good bundle package
37618,i watned it that way
37624,No issues with service
37625,"It's been a good service, few interruptions."
37628,they have the best bundle deals
37629,Good service.
37632,Just because
37635,it tends to bleep out alot
37637,
37638,Service good but price is high
37641,Recently had problems with tv signals
37642,I have been their customer for a number of years now and really like their cable service.
37653,Like it but it is expensive
37656,they are all of the same mold.
37657,Dependabiliity
37660,poor connections with u-verse and internet
37662,good service at a fair price
37663,It has been a good service for me
37665,
37666,decent service
37673,"The service is good, but the prices could be better."
37677,
37678,I have had no problems with  Frntier
37679,had them for over 5 years and very happy with them
37682,had a lot of problems getting computer to run
37687,I'm trapped. due to my rual location I have very little options at a reasonible cost. Time Warner takes advantage of this.
37690,have had some transmission issues lately
37697,
37701,The basic phone package rate is too high
37706,I think it is a good way to get 3 sevices together.
37707,had it for a couple of years now and haven't had one problem with it
37708,"Outages on internet, of course, affects the phone. There are too many outages."
37711,Cool
37715,we've used Verizon FIOS for a number of years and have never had a problem with the service
37716,Technical support
37719,"Because when you need service, you have to wait too long for a technician to come to your home.  They are uncaring about how long you are without service."
37721,
37724,good service and loyalty discount
37725,could be better and provide better tv
37729,gerat
37730,"not all that impressed with service, issues with credibility/trust"
37738,
37739,Customer service is not very good.
37743,theyve been good
37744,"They are good, but high priced--only service availabe"
37746,good coverage good rpices
37757,"very few issues, great customer service, variety of channels, wi-fi hotspots,"
37759,Problems with email address and poor customer support
37766,They have good customer service.
37767,service is reliable and reasonable
37769,Have not been with them long enough to make a higher accessment
37779,They have excellent customer service
37782,
37784,Customer service
37787,"getting sooo expensive, customer service is bad, sending bills out late, transferring you over and over"
37789,"Very few service interruptions, good programming, quick internet, Channel 12 News."
37792,Never had one problem with them
37794,I cant stand att. terrible customer service
37796,IT IS RELIABLE
37797,they are too expensive and dont feel honest
37801,"High pricing, too many outages, poor reception."
37802,quite satisied with servic e but a little expensive
37803,expensive
37804,they keep changing the pricing  and have frequent outages
37813,"Great service so far, a bit expensive tho."
37817,service is amazing
37822,Nobody's perfect!
37823,We have few problems w/ Xfinity.
37825,I have had ATT for my phone and internet a long time and like it
37828,I like it
37830,Well it makes it easier to bundle and TWC has been relatively good working with them on pricing and service issues.
37832,
37833,it is no better or worse than anyone else
37835,They only want to give you a discount when you threaten to leave
37838,Reliable service.
37843,
37846,
37847,idk
37848,"Pretty standard service - calls and Internet work , but Internet can be very slow."
37850,
37853,"Their repair service technicians vary greatly in apptitude. So it's unpredictable when they will get you back on-line after a problem occurs.  They charge way too much for the low speed (1Mbps) DSL they provide.  And, they don't consider Life-Line landline service as regular phone.  This means you can't get a bundled price and save $5.00."
37854,lousy customer service
37864,great service no problems
37867,
37869,excellent service
37874,
37878,The prices are very competitive and the service is very reliable.
37879,I give the fact that there are offers out there that for less on TV.
37881,I am content with the pricing and service I receive.
37883,Runs a little slow and doesn't have as many channels as Brighthouse
37885,
37890,CRAPPY SERVICE
37891,
37895,
37898,internet slow
37905,too expensive and too slow for internet
37906,i like what i have
37911,
37916,Great service but expensive. Small increases often
37917,love the programming and the pictue quality
37918,"internet goes out occasionally and phone drops occasionally. Nobody in their overseas based call center can speak English that I can understand, they do not speak English clearly."
37920,poor service
37925,
37926,
37927,reliable
37929,nothing
37930,
37935,I have always had a positive experience with them
37936,constant price increase for mediocre services... lots out outages
37943,The price is high
37944,
37945,"I have been with them for a long time & I think they offer the best deal over-all, more channels, higher speeds and everything at the best price."
37947,TV went off for 1 hour for no reason
37951,they are very good
37952,My bill has steadily gone up without any difference in the services provided.
37955,
37958,cables resist salt air corrosion
37963,
37975,because they keep raising the prices for no reason
37977,Slow  internet service...
37979,Cost
37982,EXCELLENT COMPANY
37984,Meets my requirements
37987,bad outages
37988,"Good Service, but the price is getting too high."
37990,Internet service is sometimes not good.
37992,Cost.
37994,good service at a fair cost
37995,"good customer service, poor rates"
37996,Usually we have good service with no problems
37997,Great service
38002,Service is always available.  Updates are appropriate.
38004,
38005,I used to love u-verse but we have had 2 outages in the last 10 days. That is too unreliable.
38007,Fairly reliable but somewhat slow internet
38008,"Service is excellent, but pricey"
38010,Good service and reasonable price.
38014,The cost is too high.
38015,"So far, service has been reliable."
38016,Misleading information at a beginning of contract
38020,
38021,Poor quality
38022,
38023,
38025,The best deal of wireless with phone
38030,cost and service
38033,Way too expensive
38034,"High prices, terrible reception on tv, internet response irractic and unpredictable."
38036,Very reliable.
38037,good connectivity
38038,Service is fine.  Few options
38040,"Only telephone in our area, would combine if we could"
38044,"Direct TV is the best, AT&T Wireless needs to be better, Internet and Home Phone could be better."
38047,Price is reasonable however I hear horror stories about the service.
38049,Like the service EXCEPT for the high cost...
38050,service
38053,No problems
38055,Good but not great service.
38056,Very good service
38057,they are always there when you need help
38058,HORRIBLE CUSTOMER SERVICE
38063,The cost is insane.
38064,reliable with reasonable cost
38065,Prices seem to be going up and up
38066,not a large selection of programs
38067,
38068,Spotty internet service at night
38070,They are HARD to deal with !!!!
38073,because i like the services
38077,Poor customer service
38079,expensive
38083,reliable
38084,
38085,
38086,
38089,Very seldom have a break in internet and wireless service. Good support when there is a problem.
38090,"Technical issues with cable box, lapses in coverage, poor customer service"
38093,"When needed service has been very good, fast friendly and were able to solve problems on the spot."
38096,They have served me well other then there ever increasing charges
38097,
38099,"Good service, but a bit pricey"
38100,
38101,its ok
38103,good service
38104,had to pick something
38105,the Cable TV goes down and the DVR does not tape shows all the way
38106,always adding extra fees
38107,Reliability
38108,Pricing policies
38109,"Spotty coverage, speed"
38110,cost
38111,"cost, operating problems"
38113,There are times when the internet is extremely slow and times when the DVR locks up while it is recording a show and I don't get to see the show.
38115,"They have treated me very well, and the service has been very good"
38117,"excellent internet speed, reliability of service but it is pricy"
38119,"We pretty much don't have many choices.  Wish there was a better more reasonably priced one, but we don't have one."
38120,"Good service and reliability, comparative pricing with competitors, but a lengthy process if customer service help is needed."
38123,Good service
38124,Has always been goo service.  Any minor problems was always taken care of efficiently.
38126,high rates/ crap services
38128,"Customer service (or lack there of).  They also have a tendency to ""sneak"" in small rate hikes & fees, here & there."
38130,Superior coverage when driving.
38131,Pay too much.
38132,Service has been reliable but expensive
38133,The services are excellent. The service is not!
38134,"Very few technical problems, bordering on none."
38135,service is okay
38139,dvr
38142,no problems good price
38146,"I don't use this service, but if I had someone I knew was looking for this service I might recommend it to them."
38149,had to buy an additional router to get internet access in the house
38151,expensive but I like the bundle
38153,it's the only land line service available in our town
38154,good service
38157,very good
38160,reliable and easy to deal with
38161,Too expensive and cable boxes malfunction frequently.
38162,I do not usually have to much problems with them and their rates for me are great
38163,service is not good
38164,Not convinced I get the best value for my money.
38165,FIOS is a high quality service
38166,Expensive. I don't view their service as being any better than any of the alternatives.
38167,"I like the service, but it tends to go out from time to time"
38168,Not one to make recommendations
38172,Good programing and ease of doing business
38173,"Have just lost CBS programming in a fee dispute, way too many hispanic language channels and shopping channels, prices always increase. People don't need 600 channels as part of their package."
38179,"Have had a few problems, but most have been resolved quickly. Internet is a great price."
38180,poor speed and no choice
38181,poor customer service
38185,"Changing policies, poor service, limited services"
38186,Generally dependable service.
38187,Not at all unhappy with our service
38188,"Each time I call to try and bundle, I am told it is not available in my area.  Even when I receive offers, they do not ""bundle"" in my area!"
38192,Service is OK but pricey
38195,small number of problems and always solved with satisfaction
38197,"There is no Fios offered at my location, and no non-phone internet offered wither, therefore I am forced to pay for a home telephone I do not use."
38198,service
38199,"I'm indifferent. It's not great especially the internet, but the service is affordable."
38201,
38206,Expensive
38217,Feel the service is good
38218,unreliable internet service
38221,There bill is to high and there connection is always messing up
38223,
38224,
38225,service and upgrades
38226,
38229,Great Customer Service and one stop shopping.
38231,
38232,Time warner has some really good customer servtce
38233,
38235,"Their service is good, price is okay."
38237,Price is too high
38238,ughuhi
38239,"so far, ok"
38240,Their prices keep going up and yet they offer less services.
38241,"They do a pretty good job all things considered, however recommending them would be kind of pointless since cable provider options are based primarily on location rather than any sort of actual choice."
38247,slow internet no choice for provider
38250,Not bad but not great
38251,Have always been with Verizon
38255,poor internet - high costs
38260,cost
38262,"Good service, fast internet. Reliable"
38263,They have the best coverage for my area and reasonable rates/plans
38265,
38267,"decent service, but poor customer service"
38270,Their email system is terrible.  I think their prices are high for what we get.
38271,I don't recommend services for anything
